127.0.0.1, 2018-05-16 21:10:42, GET, /favicon.ico, HTTP/1.1, 400, 0.002040
127.0.0.1, 2018-05-16 21:10:50, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.146285
127.0.0.1, 2018-05-16 21:10:50, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001651
127.0.0.1, 2018-05-16 21:10:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001940
127.0.0.1, 2018-05-16 21:11:02, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.136276
127.0.0.1, 2018-05-16 21:11:02, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.002259
127.0.0.1, 2018-05-16 21:11:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001652
127.0.0.1, 2018-05-16 21:11:08, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.165830
127.0.0.1, 2018-05-16 21:11:08, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001690
127.0.0.1, 2018-05-16 21:11:08, GET, /favicon.ico, HTTP/1.1, 400, 0.002495
127.0.0.1, 2018-05-16 21:11:22, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.150965
127.0.0.1, 2018-05-16 21:11:22, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001751
127.0.0.1, 2018-05-16 21:11:22, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.003393
127.0.0.1, 2018-05-16 21:11:22, GET, /favicon.ico, HTTP/1.1, 400, 0.001468
127.0.0.1, 2018-05-16 21:12:31, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.134278
127.0.0.1, 2018-05-16 21:12:31, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001555
127.0.0.1, 2018-05-16 21:12:31, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.006367
127.0.0.1, 2018-05-16 21:12:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001606
127.0.0.1, 2018-05-16 21:12:52, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.000522
127.0.0.1, 2018-05-16 21:15:24, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.150791
127.0.0.1, 2018-05-16 21:15:24, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001709
127.0.0.1, 2018-05-16 21:15:24, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.001535
127.0.0.1, 2018-05-16 21:15:24, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.009328
127.0.0.1, 2018-05-16 21:15:25, GET, /favicon.ico, HTTP/1.1, 400, 0.001296
127.0.0.1, 2018-05-16 21:15:31, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.142592
127.0.0.1, 2018-05-16 21:15:31, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.005676
127.0.0.1, 2018-05-16 21:15:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001269
127.0.0.1, 2018-05-16 21:15:35, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.152558
127.0.0.1, 2018-05-16 21:15:36, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001568
127.0.0.1, 2018-05-16 21:15:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001330
127.0.0.1, 2018-05-16 21:16:24, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.150250
127.0.0.1, 2018-05-16 21:16:24, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.002413
127.0.0.1, 2018-05-16 21:16:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001464
127.0.0.1, 2018-05-16 21:16:53, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.149713
127.0.0.1, 2018-05-16 21:16:53, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001570
127.0.0.1, 2018-05-16 21:16:53, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001727
127.0.0.1, 2018-05-16 21:16:53, GET, /favicon.ico, HTTP/1.1, 400, 0.001771
127.0.0.1, 2018-05-16 21:17:05, GET, /robots.txt, HTTP/1.1, 400, 0.000267
127.0.0.1, 2018-05-16 21:17:05, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.183034
127.0.0.1, 2018-05-16 21:17:05, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001598
127.0.0.1, 2018-05-16 21:17:05, GET, /favicon.ico, HTTP/1.1, 400, 0.003544
127.0.0.1, 2018-05-16 21:22:12, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.146812
127.0.0.1, 2018-05-16 21:22:13, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001621
127.0.0.1, 2018-05-16 21:22:13, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.001506
127.0.0.1, 2018-05-16 21:22:13, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001452
127.0.0.1, 2018-05-16 21:22:13, GET, /favicon.ico, HTTP/1.1, 400, 0.001612
